name,UUID,category,cmui_swatch,in_mix_mode,in_clamp,in_invert,in_debug,in_k1_mode,in_k1_color,in_k1_hcl_offset,in_g1_interp_mode,in_g1_staircase_steps,in_g1_chroma_boost,in_g1_lightness_boost,in_k2_enabled,in_k2_position,in_k2_mode,in_k2_color,in_k2_hcl_offset,in_g2_interp_mode,in_g2_staircase_steps,in_g2_chroma_boost,in_g2_lightness_boost,in_k3_enabled,in_k3_position,in_k3_mode,in_k3_color,in_k3_hcl_offset,in_g3_interp_mode,in_g3_staircase_steps,in_g3_chroma_boost,in_g3_lightness_boost,in_k4_mode,in_k4_color,in_k4_hcl_offset
Palette - Azur Lane,Palette-AzurLane,Gradient,Swatch-Torus,0,1,0,0,0,0.498039 0.498039 0.835294,0.0 0.0 0.0,0,1,0.0,0.0,1,0.5,0,0.52549 0.658824 0.905882,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.568627 0.917647 0.894118,0.0 0.0 0.0
Palette - Azure Pop,Palette-AzurePop,Gradient,Swatch-Torus,0,1,0,0,0,0.937255 0.196078 0.85098,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.537255 1.0 0.992157,0.0 0.0 0.0
Palette - Back To Earth,Palette-BackToEarth,Gradient,Swatch-Torus,0,1,0,0,0,0.0 0.788235 1.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.572549 0.996078 0.615686,0.0 0.0 0.0
Palette - Back to the Future,Palette-BacktotheFuture,Gradient,Swatch-Torus,0,1,0,0,0,0.752941 0.141176 0.145098,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.941176 0.796078 0.207843,0.0 0.0 0.0
Palette - Behongo,Palette-Behongo,Gradient,Swatch-Torus,0,1,0,0,0,0.321569 0.760784 0.203922,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.0235294 0.0901961 0.0,0.0 0.0 0.0
Palette - Beleko,Palette-Beleko,Gradient,Swatch-Torus,0,1,0,0,0,1.0 0.117647 0.337255,0.0 0.0 0.0,0,1,0.0,0.0,1,0.5,0,0.976471 0.788235 0.258824,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.117647 0.564706 1.0,0.0 0.0 0.0
Palette - Between Night and Day,Palette-BetweenNightandDay,Gradient,Swatch-Torus,0,1,0,0,0,0.172549 0.243137 0.313726,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.203922 0.596078 0.858824,0.0 0.0 0.0
Palette - Between The Clouds,Palette-BetweenTheClouds,Gradient,Swatch-Torus,0,1,0,0,0,0.45098 0.784314 0.662745,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.215686 0.231373 0.266667,0.0 0.0 0.0
Palette - Bighead,Palette-Bighead,Gradient,Swatch-Torus,0,1,0,0,0,0.788235 0.294118 0.294118,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.294118 0.0745098 0.309804,0.0 0.0 0.0
Palette - Black Ros̩,Palette-BlackRos̩,Gradient,Swatch-Torus,0,1,0,0,0,0.956863 0.768627 0.952941,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.988235 0.403922 0.980392,0.0 0.0 0.0
Palette - Bleem,Palette-Bleem,Gradient,Swatch-Torus,0,1,0,0,0,0.258824 0.517647 0.858824,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.160784 0.917647 0.768627,0.0 0.0 0.0
Palette - Blood Red,Palette-BloodRed,Gradient,Swatch-Torus,0,1,0,0,0,0.972549 0.313726 0.196078,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.905882 0.219608 0.152941,0.0 0.0 0.0
Palette - Bloody Mary,Palette-BloodyMary,Gradient,Swatch-Torus,0,1,0,0,0,1.0 0.317647 0.184314,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.866667 0.141176 0.462745,0.0 0.0 0.0
Palette - Blooker20,Palette-Blooker20,Gradient,Swatch-Torus,0,1,0,0,0,0.901961 0.360784 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.976471 0.831373 0.137255,0.0 0.0 0.0
Palette - Blooze,Palette-Blooze,Gradient,Swatch-Torus,0,1,0,0,0,0.427451 0.65098 0.745098,0.0 0.0 0.0,0,1,0.0,0.0,1,0.5,0,0.294118 0.521569 0.619608,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.427451 0.65098 0.745098,0.0 0.0 0.0
Palette - Blu,Palette-Blu,Gradient,Swatch-Torus,0,1,0,0,0,0.0 0.254902 0.415686,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.894118 0.898039 0.901961,0.0 0.0 0.0
Palette - Blue & Orange,Palette-Blue&Orange,Gradient,Swatch-Torus,0,1,0,0,0,0.992157 0.505882 0.0705882,0.0 0.0 0.0,0,1,0.0,0.0,0,0.34,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,0,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.0 0.521569 0.792157,0.0 0.0 0.0
